Reading family information ...
family file: number of sequences: 112902
family file: number of families: 169
Filtering families ...
1 94594 94594
2 8319 8319
3 5202 5202
4 14 14
5 81 81
6 104 104
7 11 11
8 8 8
9 12 12
10 3 3
11 998 998
12 5 5
13 141 141
14 82 82
15 60 60
16 82 82
17 146 146
18 10 10
19 8 8
20 14 14
21 11 11
22 4 4
23 34 34
24 132 132
25 6 6
26 28 28
27 72 72
28 7 7
29 123 123
30 7 7
31 2 2
32 3 3
33 2 2
34 2 2
35 45 45
36 115 115
37 166 166
38 20 20
39 18 18
40 8 8
41 54 54
42 21 21
43 19 19
44 9 9
45 30 30
46 16 16
47 15 15
48 96 96
49 64 64
50 20 20
51 664 664
52 7 7
53 15 15
54 5 5
55 4 4
56 7 7
57 11 11
58 4 4
59 4 4
60 37 37
61 6 6
62 7 7
63 4 4
64 16 16
65 12 12
66 7 7
67 10 10
68 3 3
69 247 247
70 12 12
71 3 3
72 3 3
73 8 8
74 6 6
75 9 9
76 7 7
77 3 3
78 5 5
79 2 2
80 3 3
81 17 17
82 31 31
83 3 3
84 27 27
85 17 17
86 3 3
87 2 2
88 102 102
89 2 2
90 2 2
91 20 20
92 3 3
93 12 12
94 14 14
95 2 2
96 5 5
97 3 3
98 6 6
99 2 2
100 7 7
101 11 11
102 4 4
103 5 5
104 7 7
105 3 3
106 8 8
107 4 4
108 3 3
109 2 2
110 3 3
111 2 2
112 7 7
113 2 2
114 86 86
115 55 55
116 5 5
117 3 3
118 4 4
119 2 2
120 2 2
121 5 5
122 2 2
123 3 3
124 2 2
125 4 4
126 6 6
127 3 3
128 3 3
129 2 2
130 2 2
131 2 2
132 2 2
133 11 11
134 2 2
135 9 9
136 8 8
137 28 28
138 2 2
139 11 11
140 7 7
141 6 6
142 4 4
143 5 5
144 3 3
145 2 2
146 3 3
147 3 3
148 5 5
149 3 3
150 5 5
151 3 3
152 3 3
153 2 2
154 5 5
155 3 3
156 17 17
157 2 2
158 9 9
159 5 5
160 3 3
161 2 2
162 5 5
163 3 3
164 3 3
165 2 2
166 2 2
167 2 2
168 4 4
169 2 2
Removing small families ...
Reading sequences ...
Getting intra-families distances ...
