Reading family information ...
family file: number of sequences: 105529
family file: number of families: 969
Filtering families ...
1 82911 82911
2 1519 1519
3 356 356
4 619 619
5 9216 9216
6 271 271
7 339 339
8 29 29
9 143 143
10 91 91
11 5 5
12 75 75
13 15 15
14 64 64
15 3 3
16 2 2
17 31 31
18 17 17
19 11 11
20 5 5
21 3 3
22 3 3
23 236 236
24 22 22
25 11 11
26 6 6
27 42 42
28 9 9
29 8 8
30 10 10
31 4 4
32 5 5
33 39 39
34 4 4
35 2 2
36 6 6
37 6 6
38 2 2
39 11 11
40 2 2
41 5 5
42 88 88
43 20 20
44 15 15
45 28 28
46 178 178
47 13 13
48 53 53
49 14 14
50 4 4
51 2 2
52 8 8
53 2 2
54 12 12
55 6 6
56 18 18
57 2 2
58 10 10
59 2 2
60 28 28
61 4 4
62 19 19
63 6 6
64 10 10
65 6 6
66 68 68
67 14 14
68 6 6
69 16 16
70 7 7
71 3 3
72 2 2
73 1267 1267
74 32 32
75 20 20
76 7 7
77 27 27
78 12 12
79 3 3
80 8 8
81 2 2
82 104 104
83 6 6
84 10 10
85 15 15
86 6 6
87 4 4
88 2 2
89 7 7
90 3 3
91 10 10
92 18 18
93 9 9
94 4 4
95 8 8
96 5 5
97 14 14
98 3 3
99 5 5
100 7 7
101 16 16
102 7 7
103 16 16
104 3 3
105 2 2
106 2 2
107 10 10
108 18 18
109 5 5
110 3 3
111 7 7
112 3 3
113 47 47
114 5 5
115 14 14
116 3 3
117 3 3
118 2 2
119 27 27
120 2 2
121 2 2
122 14 14
123 4 4
124 7 7
125 3 3
126 2 2
127 2 2
128 2 2
129 3 3
130 22 22
131 6 6
132 3 3
133 2 2
134 11 11
135 14 14
136 6 6
137 21 21
138 5 5
139 34 34
140 3 3
141 14 14
142 6 6
143 4 4
144 7 7
145 8 8
146 2 2
147 9 9
148 2 2
149 3 3
150 6 6
151 4 4
152 19 19
153 3 3
154 7 7
155 9 9
156 7 7
157 3 3
158 3 3
159 4 4
160 2 2
161 39 39
162 8 8
163 2 2
164 4 4
165 3 3
166 4 4
167 8 8
168 2 2
169 3 3
170 2 2
171 3 3
172 3 3
173 5 5
174 2 2
175 3 3
176 4 4
177 898 898
178 21 21
179 16 16
180 11 11
181 14 14
182 17 17
183 4 4
184 4 4
185 2 2
186 3 3
187 2 2
188 4 4
189 14 14
190 4 4
191 2 2
192 2 2
193 10 10
194 2 2
195 3 3
196 17 17
197 9 9
198 20 20
199 6 6
200 6 6
201 2 2
202 16 16
203 2 2
204 21 21
205 4 4
206 3 3
207 4 4
208 5 5
209 6 6
210 2 2
211 14 14
212 2 2
213 2 2
214 22 22
215 3 3
216 4 4
217 3 3
218 14 14
219 10 10
220 4 4
221 7 7
222 11 11
223 2 2
224 6 6
225 59 59
226 3 3
227 6 6
228 2 2
229 8 8
230 2 2
231 5 5
232 3 3
233 4 4
234 13 13
235 6 6
236 18 18
237 7 7
238 50 50
239 8 8
240 8 8
241 4 4
242 3 3
243 7 7
244 11 11
245 8 8
246 4 4
247 5 5
248 8 8
249 2 2
250 4 4
251 2 2
252 8 8
253 9 9
254 4 4
255 14 14
256 5 5
257 30 30
258 29 29
259 29 29
260 17 17
261 4 4
262 13 13
263 3 3
264 9 9
265 9 9
266 4 4
267 5 5
268 15 15
269 3 3
270 12 12
271 3 3
272 7 7
273 2 2
274 5 5
275 5 5
276 10 10
277 2 2
278 7 7
279 4 4
280 10 10
281 4 4
282 3 3
283 2 2
284 3 3
285 3 3
286 2 2
287 10 10
288 4 4
289 4 4
290 6 6
291 2 2
292 2 2
293 26 26
294 20 20
295 4 4
296 11 11
297 24 24
298 20 20
299 6 6
300 31 31
301 6 6
302 6 6
303 39 39
304 5 5
305 2 2
306 31 31
307 24 24
308 50 50
309 9 9
310 10 10
311 2 2
312 5 5
313 12 12
314 7 7
315 2 2
316 2 2
317 2 2
318 10 10
319 3 3
320 3 3
321 3 3
322 3 3
323 4 4
324 2 2
325 3 3
326 2 2
327 11 11
328 2 2
329 2 2
330 11 11
331 2 2
332 22 22
333 4 4
334 12 12
335 5 5
336 22 22
337 5 5
338 4 4
339 2 2
340 3 3
341 4 4
342 5 5
343 5 5
344 13 13
345 13 13
346 3 3
347 15 15
348 3 3
349 9 9
350 3 3
351 24 24
352 4 4
353 2 2
354 28 28
355 5 5
356 2 2
357 10 10
358 5 5
359 4 4
360 3 3
361 4 4
362 2 2
363 6 6
364 2 2
365 5 5
366 2 2
367 2 2
368 8 8
369 2 2
370 3 3
371 2 2
372 2 2
373 2 2
374 12 12
375 3 3
376 3 3
377 5 5
378 3 3
379 3 3
380 6 6
381 2 2
382 17 17
383 9 9
384 25 25
385 5 5
386 6 6
387 3 3
388 3 3
389 3 3
390 38 38
391 6 6
392 2 2
393 26 26
394 26 26
395 25 25
396 9 9
397 2 2
398 5 5
399 2 2
400 10 10
401 3 3
402 2 2
403 4 4
404 2 2
405 2 2
406 2 2
407 4 4
408 3 3
409 3 3
410 3 3
411 10 10
412 2 2
413 9 9
414 2 2
415 7 7
416 2 2
417 3 3
418 3 3
419 3 3
420 3 3
421 2 2
422 3 3
423 3 3
424 2 2
425 8 8
426 13 13
427 3 3
428 6 6
429 2 2
430 2 2
431 19 19
432 5 5
433 7 7
434 3 3
435 5 5
436 2 2
437 33 33
438 3 3
439 2 2
440 2 2
441 12 12
442 20 20
443 6 6
444 4 4
445 10 10
446 8 8
447 2 2
448 4 4
449 15 15
450 3 3
451 14 14
452 8 8
453 5 5
454 34 34
455 11 11
456 10 10
457 4 4
458 4 4
459 2 2
460 13 13
461 3 3
462 2 2
463 3 3
464 4 4
465 14 14
466 5 5
467 19 19
468 5 5
469 3 3
470 10 10
471 4 4
472 4 4
473 3 3
474 3 3
475 4 4
476 2 2
477 2 2
478 5 5
479 2 2
480 30 30
481 3 3
482 60 60
483 3 3
484 13 13
485 6 6
486 3 3
487 2 2
488 19 19
489 23 23
490 6 6
491 4 4
492 32 32
493 3 3
494 19 19
495 3 3
496 25 25
497 9 9
498 7 7
499 8 8
500 4 4
501 2 2
502 2 2
503 2 2
504 2 2
505 2 2
506 2 2
507 6 6
508 2 2
509 3 3
510 2 2
511 2 2
512 2 2
513 4 4
514 2 2
515 2 2
516 2 2
517 2 2
518 9 9
519 11 11
520 7 7
521 5 5
522 3 3
